start	end	text
5125600	5129600	So they do not belong to the same continuum.
5129600	5137600	As they do not belong to the same continuum, they do not belong to the same continuum.
5137600	5166520	So what this is saying is that the Bali, Lotus and so forth, number one, are not asserted
5166520	5175040	to be the causes of the rice sprout. Number two, they don't have the ability to produce
5175040	5180160	the rice sprout. Number three, they are not in the same continuum as the rice sprout
5180160	5188000	and they have no houses for number four. They have no preceding instances of lightness
5188000	5200080	to the rice sprout. And in exactly the same way, the rice seed doesn't have those four
5200080	5217680	qualities, let's say. So like it says here, the rice seed also does not have those
5217680	5237160	four qualities in relation to the rice sprout. And the reason is because it is inherently
5237160	5256160	different from the rice. So these are probably, these seem to be the text of this comes
5256160	5277160	from the auto commentary. And Lama Sankapa finishes this off by saying, this type of argument
5277160	5281960	demonstrates how the notion of the presence or absence of these four characteristics
5281960	5310960	cannot be postulated even in relation to things that are separate and unrelated.
5310960	5338000	The thing is that when we talk about any two things being inherently different, then you won't
5338000	5344720	be able to differentiate between them in terms of whether they have these four or whether
5344720	5367040	they don't have these four. They're all going to be alike in not having these four.
5397040	5408600	And when you say that two things are inherently other, then they're going to be unrelated, separate,
5408600	5419840	unrelated, phenomenal objects, things. And so you're not going to be able to say that the
5419840	5430320	barley has the ability, has not got the ability, sorry, to produce a rice sprout, whereas
5430320	5437240	the rice seed does have the ability to produce a rice sprout. You're not going to be able
5437240	5448840	to make that distinction because in both cases they're completely unrelated.
5448840	5477840	The reason this comes up is because in there,
5477840	5490840	the argument aimed at avoiding these absurd consequences, they said there is a special
5490840	5500840	difference between the cause and effect of the seed and the sprout for example.
5500840	5511840	And here, in this text, at this point, Labusankara has shown that actually that argument doesn't
5511840	5525840	work because you cannot actually, there isn't actually a special difference.
5526840	5554840	Now here, there's really quite a lot to think about. One thing being
5555840	5568840	to work with, or try to find an answer to the question, when we say that a barley, a grain of barley,
5568840	5579840	doesn't have the ability to produce a rice sprout, why is that? Why does it have no ability?
5584840	5600840	In other words, we can see that the rice seed does have the ability to produce a rice sprout,
5600840	5609840	but it does not have the ability to produce a rice sprout, so why is that?
5614840	5628840	The reason is that the barley has the ability to produce a rice sprout,
5628840	5637840	because it has the ability to produce a rice sprout, so why is that?
5637840	5649840	The reason is that the barley has the ability to produce a rice sprout,
5649840	5674840	because it has the ability to produce a rice sprout, so why is that?
5675840	5688840	The reason is that the barley has the ability to produce a rice sprout,
5688840	5702840	because it has the ability to produce a rice sprout,
5702840	5715840	because it has the ability to produce a rice sprout,
5715840	5735840	because it has the ability to produce a rice sprout,
5735840	5743840	those who accept inherent existence from its own side,
5743840	5756840	they would say that the rice seed from its own side, it has the ability to produce a rice sprout,
5756840	5771840	and that rice seed does not have from its own side the ability to produce a barley sprout.
5771840	5792840	The reason is that the barley has the ability to produce a rice sprout,
5793840	5807840	because it has the ability to produce a rice sprout,
5808840	5823840	so what they would say is that if it doesn't have the ability or potential to produce the rice sprout from its own side,
5823840	5834840	it simply won't produce the rice sprout.
5835840	5854840	So if we ask that question, that's probably the answer that we would get, right?
5854840	5869840	In other words, if we ask that question, why is it that the rice seed has the ability to produce the rice sprout,
5869840	5875840	that's probably what we would answer, isn't it? From its own side, it has that ability.
5884840	5893840	That ability is the ability to produce the rice sprout from its own side,
5893840	5902840	and that ability to produce the rice sprout from its own side,
5902840	5911840	it has the ability to produce the rice sprout from its own side,
5911840	5920840	and that ability to produce the rice sprout from its own side.
5920840	5922840	Can you tell us the reason for that?
5925840	5935840	And this really brings us back to the way of thinking of these Samkeers who said that the result,
5935840	5942440	So, like, if you talk about the rice seed and the rice sprout, the rice sprout exists
5942440	5954880	at the time of the rice seed in a non-manifest form, and that's why it is, that's how you
5954880	5962920	can account for the fact that a particular seed is going to produce a particular kind
5962920	5968920	of result and not just anything, not just everything.
5992920	6010320	So, now, what the President Geekers would say is that the seed does not have the ability
6010320	6017400	from its own side, or the seed doesn't have from its own side, the ability to produce
6017400	6023400	the rice sprout, but still it does produce the rice sprout.
6038400	6046880	If we were to say that the rice seed does from its own side have the ability to produce
6046880	6052880	the rice sprout, then these faults that have been pointed out would accrue.
6077880	6098200	So, then, when we're talking about the cause and effect being inherently other, then you've got the
6098200	6106440	consequence, you know, the situation where the two would have to be in, what you call
6106440	6115880	unrelated separate objects, separate things. And then you won't be able to explain why it is that
6115880	6121200	certain things will produce certain results and not other results.
6128200	6143200	So, maybe that will do for today, and do please read one or two pages ahead for tomorrow.
